Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
26861878,"Fanatical Prospecting: The Ultimate Guide to Opening Sales Conversations and Filling the Pipeline by Leveraging Social Selling, Telephone, Email, Text, and Cold Calling",Jeb Blount,"Blount, Jeb",Mike Weinberg,"=""""","=""""",0,4.29,Wiley,Kindle Edition,304,2015,2015,,2021/09/20,to-read,to-read (#31),to-read,,,,0,,,0,,,,,
19669566,A Guide to the Good Life: The Ancient Art of Stoic Joy,William B. Irvine,"Irvine, William B.",,"=""""","=""""",0,4.17,"Oxford University Press, USA",Kindle Edition,316,2008,2008,,2021/09/20,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
7465824,என் இனிய இயந்திரா [En Iniya Iyandhira],Sujatha,"Sujatha, Sujatha",,"=""""","=""""",2,4.16,Visa Publications,Paperback,280,2010,1980,2021/08/29,2021/08/25,"thamizh, novel","thamizh (#105), novel (#30)",read,Lot of loopholes in the plot. Eventually turned unenjoyable.,,,1,,,0,,,,,
41147811,நிலம் பூத்து மலர்ந்த நாள் [Nilam Poothu Malarntha Naal],Manoj Kuroor,"Kuroor, Manoj",K.V. Jeyasri,"=""""","=""""",0,4.16,,Kindle Edition,320,2018,2015,,2021/09/14,currently-reading,currently-reading (#52),currently-reading,,,,1,,,0,,,,,
11889509,"Slack: Getting Past Burnout, Busywork, and the Myth of Total Efficiency",Tom DeMarco,"DeMarco, Tom",,"=""""","=""""",0,4.03,Crown Business,Kindle Edition,240,2001,2001,,2021/09/13,to-read,to-read (#29),to-read,,,,0,,,0,,,,,
48499647,Grit: The Power of Passion and Perseverance,Angela Duckworth,"Duckworth, Angela",,"=""""","=""""",0,4.06,Ebury Digital,Kindle Edition,437,2016,2016,,2021/09/13,to-read,to-read (#28),to-read,,,,0,,,0,,,,,
12150193,"Punished by Rewards: The Trouble with Gold Stars, Incentive Plans, A's, Praise, and Other Bribes",Alfie Kohn,"Kohn, Alfie",,"=""""","=""""",0,4.15,,Kindle Edition,452,,1993,,2021/09/13,to-read,to-read (#27),to-read,,,,0,,,0,,,,,
20787425,Reinventing Organizations: A Guide to Creating Organizations Inspired by the Next Stage of Human Consciousness,Frederic Laloux,"Laloux, Frederic",Ken Wilber,"=""""","=""""",0,4.19,Nelson Parker,Kindle Edition,382,2014,2014,,2021/09/13,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
25045046,"The Upward Spiral: Using Neuroscience to Reverse the Course of Depression, One Small Change at a Time",Alex Korb,"Korb, Alex",Daniel J. Siegel,"=""""","=""""",0,4.26,New Harbinger Publications,Kindle Edition,241,2015,2015,,2021/09/13,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
22815968,"The Body Keeps the Score: Mind, Brain and Body in the Transformation of Trauma",Bessel van der Kolk,"Kolk, Bessel van der",,"=""""","=""""",0,4.44,Penguin,Kindle Edition,417,2014,2014,,2021/09/13,to-read,to-read (#24),to-read,,,,0,,,0,,,,,
48592299,Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,"=""""","=""""",0,4.35,Penguin,Kindle Edition,341,2017,2017,,2021/09/13,to-read,to-read (#23),to-read,,,,0,,,0,,,,,
18870999,The Depression Cure: The Six-Step Programme to Beat Depression Without Drugs,Stephen S. Ilardi,"Ilardi, Stephen S.",,"=""""","=""""",0,4.10,Ebury Digital,Kindle Edition,304,2010,2010,,2021/09/13,to-read,to-read (#22),to-read,,,,0,,,0,,,,,
9746611,Early Retirement Extreme: A philosophical and practical guide to financial independence,Jacob Lund Fisker,"Fisker, Jacob Lund","Zev Averbach, Ann Beaver","=""""","=""""",0,4.01,,Kindle Edition,240,,2010,,2021/09/13,to-read,to-read (#21),to-read,,,,0,,,0,,,,,
36282942,India’s Most Fearless: True Stories of Modern Military Heroes,Shiv Aroor,"Aroor, Shiv",Rahul Singh,"=""""","=""""",0,4.45,Penguin ,Kindle Edition,214,2014,,,2021/09/13,to-read,to-read (#20),to-read,,,,0,,,0,,,,,
23463279,Designing Data-Intensive Applications,Martin Kleppmann,"Kleppmann, Martin",,"=""""","=""""",0,4.72,O'Reilly,ebook,562,,2015,,2021/09/13,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
24747252,Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,"Bock, Laszlo",,"=""""","=""""",0,4.14,John Murray,Kindle Edition,416,2015,2015,,2021/09/13,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
48578561,தலித்துகளும் நிலமும்: பஞ்சமி நிலம் கிடைத்த வரலாறு,ரவிக்குமார்,"ரவிக்குமார், ரவிக்குமார்",,"=""""","=""""",4,4.25,,Kindle Edition,62,2019,,2021/09/12,2021/09/12,"thamizh, short-reads, on-kindle, kindle-unlimited","thamizh (#106), short-reads (#182), on-kindle (#239), kindle-unlimited (#12)",read,A short book on the history of Panchami land. Just scratches the topic and points to couple of references.,,,1,,,0,,,,,
49945693,Oru Manithan Oru Veedu Oru Ulagam (Modern Tamil Classic Novel),Jayakanthan,"Jayakanthan, Jayakanthan",,"=""""","=""""",0,4.22,"Kalachuvadu Publications Pvt. Ltd.,",Kindle Edition,480,2019,1973,,2021/09/12,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
35235222,Half - Lion: How P.V. Narasimha Rao Transformed India,Vinay Sitapati,"Sitapati, Vinay",,"=""""","=""""",0,4.41,Viking,Kindle Edition,372,2016,,,2021/09/09,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
26829576,The Brain: The Story of You,David Eagleman,"Eagleman, David",,"=""""","=""""",0,4.26,Canongate Books,Kindle Edition,240,2015,2015,,2021/09/01,"currently-reading, unlimited-to-read","currently-reading (#51), unlimited-to-read (#5)",currently-reading,,,,1,,,0,,,,,
50739531,மீண்டும் ஜீனோ / Meendum Jeeno,Sujatha,"Sujatha, Sujatha",,"=""""","=""""",0,4.11,Kizhakku Pathippagam,Kindle Edition,272,2010,1987,,2021/09/08,"to-read, unlimited-to-read","to-read (#15), unlimited-to-read (#4)",to-read,,,,0,,,0,,,,,
27223410,Children's Omnibus,Ruskin Bond,"Bond, Ruskin",,"=""""","=""""",0,4.30,Rupa Publications India,Kindle Edition,327,2015,1995,,2021/09/08,"to-read, unlimited-to-read","to-read (#14), unlimited-to-read (#3)",to-read,,,,0,,,0,,,,,
27797706,My Life: An Illustrated Biography,A.P.J. Abdul Kalam,"Kalam, A.P.J. Abdul",Prabhjyot Majithia,"=""""","=""""",0,4.60,Rupa Publications India,Kindle Edition,122,2015,2015,,2021/09/08,"to-read, unlimited-to-read","to-read (#13), unlimited-to-read (#2)",to-read,,,,0,,,0,,,,,
27222159,My Journey: Transforming Dreams into Actions,A.P.J. Abdul Kalam,"Kalam, A.P.J. Abdul",,"=""""","=""""",0,4.38,Rupa Publications India,Kindle Edition,160,2013,2013,,2021/09/08,"to-read, unlimited-to-read","to-read (#12), unlimited-to-read (#1)",to-read,,,,0,,,0,,,,,
19522152,Unbreakable (Mary Kom),M.C. Mary Kom,"Kom, M.C. Mary",,"=""""","=""""",0,4.09,HarperCollins Publishers India,Kindle Edition,180,2013,2013,,2021/09/08,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
53501866,JavaScript: The Definitive Guide: Master the World's Most-Used Programming Language,David Flanagan,"Flanagan, David",,"=""""","=""""",0,4.06,,Kindle Edition,,2020,1996,,2021/09/07,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
20300241,Dependency Injection with Angularjs,Alex Knol,"Knol, Alex",,"=""1782166564""","=""9781782166566""",2,2.24,Packt Publishing,Paperback,78,2013,2013,2014/09/19,2014/09/18,"e-book, technical, packt","e-book (#23), technical (#29), packt (#3)",read,,,,1,,,0,,,,,
18895165,Peopleware: Productive Projects and Teams,Tom DeMarco,"DeMarco, Tom",Timothy R. Lister,"=""""","=""""",0,4.13,Addison-Wesley Professional,Kindle Edition,233,2013,1987,,2021/09/06,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
38532508,First Things First,Stephen R. Covey,"Covey, Stephen R.",,"=""""","=""""",0,4.09,Mango Media Inc,Kindle Edition,368,2015,1993,,2021/09/06,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
34374137,Hacking Growth: How Today's Fastest-Growing Companies Drive Breakout Success,Sean     Ellis,"Ellis, Sean",Morgan Brown,"=""""","=""""",0,4.09,Virgin Digital,Kindle Edition,320,2017,2017,,2021/09/06,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
44649332,Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew    Skelton,"Skelton, Matthew",Manuel Pais,"=""""","=""""",0,4.27,IT Revolution Press,Kindle Edition,240,2019,2019,,2021/09/06,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
18866703,Good Strategy/Bad Strategy: The Difference and Why It Matters,Richard P. Rumelt,"Rumelt, Richard P.",,"=""184765746X""","=""9781847657466""",0,4.12,Not Avail,ebook,241,2014,2011,,2021/09/06,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
24490392,The 15 Commitments of Conscious Leadership: A New Paradigm for Sustainable Success,Jim Dethmer,"Dethmer, Jim","Diana Chapman, Kaley Klemp","=""""","=""""",0,4.20,,Kindle Edition,376,2015,2015,,2021/09/06,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
40510378,Leadership and Self-Deception: Getting out of the Box,The Arbinger Institute,"Institute, The Arbinger",,"=""""","=""""",0,4.09,Berrett-Koehler Publishers,Kindle Edition,240,2018,2000,,2021/09/06,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
40546609,"How Children Learn, 50th anniversary edition (A Merloyd Lawrence Book)",John C. Holt,"Holt, John C.",,"=""""","=""""",0,4.18,Da Capo Lifelong Books,Kindle Edition,287,2017,1967,,2021/08/31,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
25010845,Why I killed Gandhi: Revised Edition of Original Version (Classics to Go),Nathuram Godse,"Godse, Nathuram",Gopal Godse,"=""""","=""""",1,3.97,Otbebookpublishing,Kindle Edition,9,2015,1993,,2018/05/27,"on-kindle, short-reads, kindle-store, essay","on-kindle (#129), short-reads (#130), kindle-store (#3), essay (#2)",read,"I would like to believe myself as a Gandhian. So my review might be biased towards it.<br/><br/>First of all things, you can never justify killing another soul. And you just took 9 pages to justify killing a person called as Mahatma. What was I expecting when I read this book (",,,1,,,0,,,,,
29619107,Site Reliability Engineering: How Google Runs Production Systems,Betsy Beyer,"Beyer, Betsy","Chris     Jones, Jennifer Petoff, Niall Richard Murphy","=""""","=""""",0,4.22,O'Reilly Media,Kindle Edition,615,2016,2016,,2021/08/25,currently-reading,currently-reading (#50),currently-reading,,,,1,,,0,,,,,
58851434,My Spiti Sojourn,Hitha Nanjappa,"Nanjappa, Hitha",,"=""""","=""""",5,5.00,,Kindle Edition,126,2021,,2021/08/25,2021/08/24,"on-kindle, travel","on-kindle (#238), travel (#18)",read,A honest single South Indian girls solo adventure in the mighty Himalayas.,,,1,,,0,,,,,
18843970,The Little Book That Builds Wealth: The Knockout Formula for Finding Great Investments (Little Books. Big Profits),Pat Dorsey,"Dorsey, Pat",,"=""""","=""""",0,4.27,Wiley,Kindle Edition,126,2009,2008,,2021/08/23,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
30520353,Async & Performance,Kyle Simpson,"Simpson, Kyle",,"=""9352130162""","=""9789352130160""",4,4.30,Shroff,Paperback,280,2015,2014,2021/08/19,2020/12/17,technical,technical (#73),read,,,,1,,,0,,,,,
